<<<<<<< HEAD
"MonthYear","Year","Month","Region","DissAmmonia","DissNitrate","DissNitrateNitrite","DissOrthophos","DON","TKN","TotPhos","Temperature","Salinity","Turbidity","DissolvedOxygen","Chlorophyll","pH","Microcystis","Sac_Inflow","SJR_Inflow","Total_Inflow","Clam_Turnover","Clam_Filtration","CorbiculaBiomass","PotamocorbulaBiomass"
"Oct-2014",2014,10,"Suisun Marsh",NA,NA,NA,NA,NA,NA,NA,19.7823529411765,9.91566441845796,20.86,7.26071428571429,2.26,7.8245951332275,1,196060,16677,241424,3.13,15.6846833333333,2.54666666666667,10.1958333333333
"Nov-2014",2014,11,"Confluence",0.0833333333333333,1.8,0.523333333333333,0.0866666666666667,0.214285714285714,0.4,0.112222222222222,16.561203700878,1.91672032701503,11.8984269526067,8.38660714285714,2.2571428548722,7.46696308315779,2,227900,28688,277894,0.726666666666667,0.923333333333333,11.8766666666667,0.256666666666667
"Nov-2014",2014,11,"North",0.237512703703704,1.46,0.304633111111111,0.0925925925925926,0.25,0.508371296296296,0.125925925925926,14.3457811827042,0.234017178945499,19.0873913469783,8.50657142857143,4.87090888283469,7.28833965702058,1,227900,28688,277894,NA,NA,NA,NA
"Nov-2014",2014,11,"SouthCentral",0.0490449333333333,0.3594786,0.348304666666667,0.0773333333333333,0.22,0.326666666666667,0.0986666666666667,15.6,0.344464537867028,5.7335802318642,8.20559322033898,5.52387096774194,7.45554654935532,1,227900,28688,277894,0.055,0.055,1.04,0
"Nov-2014",2014,11,"Suisun Bay",0.0833333333333333,NA,0.483333333333333,0.1,0.266666666666667,0.466666666666667,0.12,17.1541025641026,12.4155241891899,15.948275862069,8.25,1.725,7.866035468024,1,227900,28688,277894,1.535,1.82,0,4.55
"Nov-2014",2014,11,"Suisun Marsh",NA,NA,NA,NA,NA,NA,NA,16.5588235294118,9.30392153044066,18.8,6.79285714285714,1.675,7.32428083920579,1,227900,28688,277894,NA,NA,NA,NA
"Dec-2014",2014,12,"Confluence",0.168571428571429,2.45,0.62,0.0757142857142857,0.42,0.742857142857143,0.157142857142857,13.3997674436042,1.1670966939436,44.948738746018,8.41891304347826,1.75999997456869,7.43714433342491,1,1025050,37582,1164565,0.496666666666667,0.726666666666667,17.9866666666667,0.09
"Dec-2014",2014,12,"North",0.199285714285714,2.248,0.481428571428571,0.146785714285714,0.466666666666667,0.835714285714286,0.228214285714286,12.2846235778414,0.200043840979081,119.698888942861,7.60482142857143,4.67909075303511,7.87641233517632,1,1025050,37582,1164565,NA,NA,NA,NA
"Dec-2014",2014,12,"SouthCentral",0.134375,3.1479015,0.8531206875,0.123125,0.39,0.64375,0.14125,12.9848837231163,0.331853530086471,25.83786656392,8.13236842105263,1.587,7.4624440665134,1,1025050,37582,1164565,0.065,0.075,2.41,0
"Dec-2014",2014,12,"Suisun Bay",0.176666666666667,NA,0.6,0.0866666666666667,0.466666666666667,0.8,0.133333333333333,14.2613725490196,10.9183785103229,19.7746341463415,8.41666666666667,1.005,7.51624103111051,1,1025050,37582,1164565,1.165,1.36,0,3.92
