"","Station Number","Sample Code","CollectionDate","Data Owner","Data Status","Collection Date","Analyte","CAS Reg Number","Lab Dup","Result","Rpt Limit","Units","Method","Depth","Matrix","Sample Type","Parent Sample","Description","Notes","Result Rejected"
"56","E381221553","EL0220B0122",2020-02-24 16:23:00,"0311","1000 - Non-Public, Review Status Unknown","02/24/2020 16:23","Total Kjeldahl Nitrogen","TKN",NA,"0.7","0.1","mg/L as N","EPA 351.2 (DWR Modified) [1]*","1 Feet","Water, Natural","Normal Sample","0",NA,NA,"N"
"57","E381221553","EL0220B0122",2020-02-24 16:23:00,"0311","1000 - Non-Public, Review Status Unknown","02/24/2020 16:23","Dissolved ortho-Phosphate","14265-44-2",NA,"<0.05","0.05","mg/L as P","EPA 365.1 DWR Modified [1]*","1 Feet","Water, Natural","Normal Sample","0",NA,NA,"N"
"58","E381201552","EL0220B0123",2020-02-24 16:29:00,"0311","1000 - Non-Public, Review Status Unknown","02/24/2020 16:29","Dissolved Nitrate + Nitrite","NO3+NO2",NA,"0.49","0.05","mg/L as N","Std Method 4500-NO3-F (DWR Modified) [1]*","1 Feet","Water, Natural","Normal Sample","0",NA,NA,"N"
"59","E381201552","EL0220B0123",2020-02-24 16:29:00,"0311","1000 - Non-Public, Review Status Unknown","02/24/2020 16:29","Total Phosphorus","7723-14-0",NA,"0.1","0.01","mg/L as P","EPA 365.4 (DWR Modified) [1]*","1 Feet","Water, Natural","Normal Sample","0",NA,NA,"N"
"60","E381201552","EL0220B0123",2020-02-24 16:29:00,"0311","1000 - Non-Public, Review Status Unknown","02/24/2020 16:29","Total Kjeldahl Nitrogen","TKN",NA,"0.6","0.1","mg/L as N","EPA 351.2 (DWR Modified) [1]*","1 Feet","Water, Natural","Normal Sample","0",NA,NA,"N"
"61","E381201552","EL0220B0123",2020-02-24 16:29:00,"0311","1000 - Non-Public, Review Status Unknown","02/24/2020 16:29","Dissolved ortho-Phosphate","14265-44-2",NA,"<0.05","0.05","mg/L as P","EPA 365.1 DWR Modified [1]*","1 Feet","Water, Natural","Normal Sample","0",NA,NA,"N"
"62","E2S800102306","EL0220B0160",2020-02-26 14:00:00,"0311","1000 - Non-Public, Review Status Unknown","02/26/2020 14:00","Dissolved Nitrate + Nitrite","NO3+NO2",NA,"0.17","0.05","mg/L as N","Std Method 4500-NO3-F (DWR Modified) [1]*","1 Feet","Water, Natural","Normal Sample","0",NA,NA,"N"
"63","E2S800102306","EL0220B0160",2020-02-26 14:00:00,"0311","1000 - Non-Public, Review Status Unknown","02/26/2020 14:00","Total Phosphorus","7723-14-0",NA,"0.161","0.01","mg/L as P","EPA 365.4 (DWR Modified) [1]*","1 Feet","Water, Natural","Normal Sample","0",NA,NA,"N"
"64","E2S800102306","EL0220B0160",2020-02-26 14:00:00,"0311","1000 - Non-Public, Review Status Unknown","02/26/2020 14:00","Total Kjeldahl Nitrogen","TKN",NA,"0.6","0.1","mg/L as N","EPA 351.2 (DWR Modified) [1]*","1 Feet","Water, Natural","Normal Sample","0",NA,NA,"N"
"65","E2S800102306","EL0220B0160",2020-02-26 14:00:00,"0311","1000 - Non-Public, Review Status Unknown","02/26/2020 14:00","Dissolved ortho-Phosphate","14265-44-2",NA,"0.098","0.05","mg/L as P","EPA 365.1 DWR Modified [1]*","1 Feet","Water, Natural","Normal Sample","0",NA,NA,"N"
"66","E2S80122308","EL0220B0162",2020-02-26 14:30:00,"0311","1000 - Non-Public, Review Status Unknown","02/26/2020 14:30","Dissolved Nitrate + Nitrite","NO3+NO2",NA,"0.28","0.05","mg/L as N","Std Method 4500-NO3-F (DWR Modified) [1]*","1 Feet","Water, Natural","Normal Sample","0",NA,NA,"N"
"67","E2S80122308","EL0220B0162",2020-02-26 14:30:00,"0311","1000 - Non-Public, Review Status Unknown","02/26/2020 14:30","Total Phosphorus","7723-14-0",NA,"0.151","0.01","mg/L as P","EPA 365.4 (DWR Modified) [1]*","1 Feet","Water, Natural","Normal Sample","0",NA,NA,"N"
"68","E2S80122308","EL0220B0162",2020-02-26 14:30:00,"0311","1000 - Non-Public, Review Status Unknown","02/26/2020 14:30","Total Kjeldahl Nitrogen","TKN",NA,"0.6","0.1","mg/L as N","EPA 351.2 (DWR Modified) [1]*","1 Feet","Water, Natural","Normal Sample","0",NA,NA,"N"
"69","E2S80122308","EL0220B0162",2020-02-26 14:30:00,"0311","1000 - Non-Public, Review Status Unknown","02/26/2020 14:30","Dissolved ortho-Phosphate","14265-44-2",NA,"0.088","0.05","mg/L as P","EPA 365.1 DWR Modified [1]*","1 Feet","Water, Natural","Normal Sample","0",NA,NA,"N"
"70","B980241515","EL0220B0112",2020-02-27 09:19:00,"0311","1000 - Non-Public, Review Status Unknown","02/27/2020 09:19","Dissolved Ammonia","7664-41-7","Y","<0.05","0.05","mg/L as N","EPA 350.1 (DWR Modified) [1]*","1 Feet","Water, Natural","Normal Sample","0",NA,NA,"N"
"71","B980241515","EL0220B0112",2020-02-27 09:19:00,"0311","1000 - Non-Public, Review Status Unknown","02/27/2020 09:19","Dissolved Ammonia","7664-41-7",NA,"<0.05","0.05","mg/L as N","EPA 350.1 (DWR Modified) [1]*","1 Feet","Water, Natural","Normal Sample","0",NA,NA,"N"
"72","B980241515","EL0220B0112",2020-02-27 09:19:00,"0311","1000 - Non-Public, Review Status Unknown","02/27/2020 09:19","Dissolved Nitrate + Nitrite","NO3+NO2",NA,"0.24","0.05","mg/L as N","Std Method 4500-NO3-F (DWR Modified) [1]*","1 Feet","Water, Natural","Normal Sample","0",NA,NA,"N"
"73","B980241515","EL0220B0112",2020-02-27 09:19:00,"0311","1000 - Non-Public, Review Status Unknown","02/27/2020 09:19","Dissolved Nitrate + Nitrite","NO3+NO2","Y","0.23","0.05","mg/L as N","Std Method 4500-NO3-F (DWR Modified) [1]*","1 Feet","Water, Natural","Normal Sample","0",NA,NA,"N"
"74","B980241515","EL0220B0112",2020-02-27 09:19:00,"0311","1000 - Non-Public, Review Status Unknown","02/27/2020 09:19","Total Phosphorus","7723-14-0",NA,"0.08","0.01","mg/L as P","EPA 365.4 (DWR Modified) [1]*","1 Feet","Water, Natural","Normal Sample","0",NA,NA,"N"
"75","B980241515","EL0220B0112",2020-02-27 09:19:00,"0311","1000 - Non-Public, Review Status Unknown","02/27/2020 09:19","Total Kjeldahl Nitrogen","TKN",NA,"0.4","0.1","mg/L as N","EPA 351.2 (DWR Modified) [1]*","1 Feet","Water, Natural","Normal Sample","0",NA,NA,"N"
"76","B980241515","EL0220B0112",2020-02-27 09:19:00,"0311","1000 - Non-Public, Review Status Unknown","02/27/2020 09:19","Dissolved ortho-Phosphate","14265-44-2","Y","0.056","0.05","mg/L as P","EPA 365.1 DWR Modified [1]*","1 Feet","Water, Natural","Normal Sample","0",NA,NA,"N"
"77","B980241515","EL0220B0112",2020-02-27 09:19:00,"0311","1000 - Non-Public, Review Status Unknown","02/27/2020 09:19","Dissolved ortho-Phosphate","14265-44-2",NA,"0.056","0.05","mg/L as P","EPA 365.1 DWR Modified [1]*","1 Feet","Water, Natural","Normal Sample","0",NA,NA,"N"
"78","B980241519","EL0220B0113",2020-02-27 09:40:00,"0311","1000 - Non-Public, Review Status Unknown","02/27/2020 09:40","Dissolved Nitrate + Nitrite","NO3+NO2",NA,"0.34","0.05","mg/L as N","Std Method 4500-NO3-F (DWR Modified) [1]*","1 Feet","Water, Natural","Normal Sample","0",NA,NA,"N"
"79","B980241519","EL0220B0113",2020-02-27 09:40:00,"0311","1000 - Non-Public, Review Status Unknown","02/27/2020 09:40","Total Phosphorus","7723-14-0",NA,"0.1","0.01","mg/L as P","EPA 365.4 (DWR Modified) [1]*","1 Feet","Water, Natural","Normal Sample","0",NA,NA,"N"
"80","B980241519","EL0220B0113",2020-02-27 09:40:00,"0311","1000 - Non-Public, Review Status Unknown","02/27/2020 09:40","Total Kjeldahl Nitrogen","TKN",NA,"0.5","0.1","mg/L as N","EPA 351.2 (DWR Modified) [1]*","1 Feet","Water, Natural","Normal Sample","0",NA,NA,"N"
"81","B980241519","EL0220B0113",2020-02-27 09:40:00,"0311","1000 - Non-Public, Review Status Unknown","02/27/2020 09:40","Dissolved ortho-Phosphate","14265-44-2",NA,"0.051","0.05","mg/L as P","EPA 365.1 DWR Modified [1]*","1 Feet","Water, Natural","Normal Sample","0",NA,NA,"N"
"82","B980251521","EL0220B0114",2020-02-27 09:53:00,"0311","1000 - Non-Public, Review Status Unknown","02/27/2020 09:53","Dissolved Nitrate + Nitrite","NO3+NO2",NA,"0.498","0.05","mg/L as N","Std Method 4500-NO3-F (DWR Modified) [1]*","1 Feet","Water, Natural","Normal Sample","0",NA,NA,"N"
"83","B980251521","EL0220B0114",2020-02-27 09:53:00,"0311","1000 - Non-Public, Review Status Unknown","02/27/2020 09:53","Total Phosphorus","7723-14-0",NA,"0.09","0.01","mg/L as P","EPA 365.4 (DWR Modified) [1]*","1 Feet","Water, Natural","Normal Sample","0",NA,NA,"N"
"84","B980251521","EL0220B0114",2020-02-27 09:53:00,"0311","1000 - Non-Public, Review Status Unknown","02/27/2020 09:53","Total Kjeldahl Nitrogen","TKN",NA,"0.434","0.1","mg/L as N","EPA 351.2 (DWR Modified) [1]*","1 Feet","Water, Natural","Normal Sample","0",NA,NA,"N"
